1.5	0.002375	0.00659961	0.00146973	0.00267883	
1.425	0.0107656	0.00177734	0.00152588	0.00100281	
1.35	0.009375	0.000882813	0.00172705	0.00403589	
1.275	0.0150625	0.0221426	0.00497949	0.00357288	
1.2	0.00724219	0.0100957	0.0170464	0.00178943	
1.125	0.0430859	0.0364492	0.0367139	0.00817346	
1.05	0.0329297	0.0623691	0.0954087	0.0295768	
0.975	0.0344687	0.296432	0.72396	0.547263	
0.9	0.684195	0.84641	0.451885	0.847644	
0.825	0.894883	0.895029	0.895353	0.896754	
0.75	0.925109	0.927139	0.926521	0.926996	
0.675	0.94682	0.947703	0.94728	0.947783	
0.6	0.962141	0.961947	0.962167	0.962505	
0.525	0.972906	0.97357	0.973244	0.973578	
0.45	0.981367	0.98149	0.981698	0.981674	
0.375	0.988289	0.987828	0.988134	0.988023	
0.3	0.99282	0.992592	0.992637	0.992546	
0.225	0.995859	0.995992	0.918149	0.995952	
0.15	0.998148	0.998203	0.998196	0.998198	
0.075	0.999523	0.999559	0.395967	0.2889	
