0.587756	0.765893
0.880612	0.827021
0.902646	0.0711997
0.458815	0.877163
0.594989	0.873989
0.186254	0.961394
0.521195	0.623249
0.161504	0.946501
0.0930204	0.546953
0.810724	0.724509
0.623188	0.240791
0.245491	0.763665
0.797388	0.876522
0.763756	0.231422
0.430006	0.56032
0.898923	0.471328
0.158971	0.873074
0.924558	0.114292
0.236457	0.123264
0.220161	0.606281
0.0713523	0.344401
0.404675	0.432752
0.680227	0.567339
0.643696	0.822169
0.702506	0.399762
0.0366832	0.208808
0.136418	0.443037
0.49086	0.237037
0.45201	0.578661
0.987152	0.587359
0.237129	0.654897
0.645528	0.406232
