0.344848	0.344848	0.344848	0.344848	0.344848	0.467108	0.467108	0.467108	0.467108	0.467108	
0.791668	0.791668	0.791668	0.791668	0.791668	0.02984	0.02984	0.02984	0.02984	0.02984	
0.710588	0.710588	0.710588	0.710588	0.710588	0.817336	0.817336	0.817336	0.817336	0.817336	
0.88542	0.88542	0.88542	0.88542	0.88542	0.845456	0.845456	0.845456	0.845456	0.845456	
0.861816	0.861816	0.861816	0.861816	0.861816	0.949108	0.949108	0.949108	0.949108	0.949108	
0.974684	0.974684	0.974684	0.974684	0.974684	0.974684	0.051096	0.051096	0.051096	0.051096	
0.978024	0.978024	0.978024	0.978024	0.978024	0.978024	0.991264	0.991264	0.991264	0.991264	
0.99466	0.99466	0.99466	0.99466	0.99466	0.99466	0.975352	0.975352	0.975352	0.975352	
0.986756	0.986756	0.986756	0.986756	0.986756	0.986756	0.993604	0.993604	0.993604	0.993604	
0.161712	0.161712	0.161712	0.161712	0.161712	0.161712	0.161712	0.399148	0.399148	0.399148	
